,yards_gained,home_team,away_team,quarter_seconds_remaining,qtr,down,yardline_100,ydstogo,posteam,defteam,score_differential
2,19.0,NYJ,BAL,896,1,1.0,78.0,10,NYJ,BAL,0.0
3,0.0,NYJ,BAL,869,1,1.0,59.0,10,NYJ,BAL,0.0
4,5.0,NYJ,BAL,865,1,2.0,59.0,10,NYJ,BAL,0.0
5,0.0,NYJ,BAL,841,1,3.0,54.0,5,NYJ,BAL,0.0
6,0.0,NYJ,BAL,833,1,4.0,64.0,15,NYJ,BAL,0.0
7,4.0,NYJ,BAL,822,1,1.0,72.0,10,BAL,NYJ,0.0
8,4.0,NYJ,BAL,801,1,2.0,68.0,6,BAL,NYJ,0.0
9,4.0,NYJ,BAL,761,1,3.0,64.0,2,BAL,NYJ,0.0
10,0.0,NYJ,BAL,721,1,1.0,60.0,10,BAL,NYJ,0.0
11,8.0,NYJ,BAL,679,1,2.0,60.0,10,BAL,NYJ,0.0
12,1.0,NYJ,BAL,640,1,3.0,52.0,2,BAL,NYJ,0.0
14,0.0,NYJ,BAL,596,1,4.0,51.0,1,BAL,NYJ,0.0
15,-2.0,NYJ,BAL,589,1,1.0,89.0,10,NYJ,BAL,0.0
16,3.0,NYJ,BAL,551,1,2.0,91.0,12,NYJ,BAL,0.0
17,0.0,NYJ,BAL,511,1,3.0,88.0,9,NYJ,BAL,0.0
18,1.0,NYJ,BAL,507,1,1.0,83.0,10,NYJ,BAL,0.0
19,0.0,NYJ,BAL,471,1,2.0,82.0,9,NYJ,BAL,0.0
20,0.0,NYJ,BAL,436,1,3.0,82.0,9,NYJ,BAL,0.0
21,0.0,NYJ,BAL,432,1,4.0,82.0,9,NYJ,BAL,0.0
22,0.0,NYJ,BAL,425,1,1.0,66.0,10,BAL,NYJ,0.0
23,1.0,NYJ,BAL,422,1,2.0,66.0,10,BAL,NYJ,0.0
24,0.0,NYJ,BAL,373,1,3.0,65.0,9,BAL,NYJ,0.0
25,0.0,NYJ,BAL,368,1,4.0,65.0,9,BAL,NYJ,0.0
26,24.0,NYJ,BAL,361,1,1.0,83.0,10,NYJ,BAL,0.0
27,1.0,NYJ,BAL,321,1,1.0,59.0,10,NYJ,BAL,0.0
28,0.0,NYJ,BAL,307,1,1.0,68.0,19,NYJ,BAL,0.0
29,-1.0,NYJ,BAL,296,1,1.0,13.0,10,BAL,NYJ,0.0
30,8.0,NYJ,BAL,248,1,2.0,14.0,11,BAL,NYJ,0.0
31,0.0,NYJ,BAL,204,1,3.0,6.0,3,BAL,NYJ,0.0
32,0.0,NYJ,BAL,199,1,4.0,6.0,3,BAL,NYJ,0.0
34,0.0,NYJ,BAL,196,1,1.0,75.0,10,NYJ,BAL,-3.0
35,0.0,NYJ,BAL,191,1,2.0,75.0,10,NYJ,BAL,-3.0
36,9.0,NYJ,BAL,187,1,3.0,75.0,10,NYJ,BAL,-3.0
37,0.0,NYJ,BAL,120,1,4.0,66.0,1,NYJ,BAL,-3.0
38,11.0,NYJ,BAL,113,1,1.0,84.0,10,BAL,NYJ,3.0
39,2.0,NYJ,BAL,72,1,1.0,73.0,10,BAL,NYJ,3.0
40,3.0,NYJ,BAL,25,1,2.0,71.0,8,BAL,NYJ,3.0
42,0.0,NYJ,BAL,900,2,3.0,68.0,5,BAL,NYJ,3.0
43,0.0,NYJ,BAL,896,2,4.0,68.0,5,BAL,NYJ,3.0
44,15.0,NYJ,BAL,885,2,1.0,71.0,10,NYJ,BAL,-3.0
45,11.0,NYJ,BAL,858,2,1.0,56.0,10,NYJ,BAL,-3.0
46,4.0,NYJ,BAL,817,2,1.0,45.0,10,NYJ,BAL,-3.0
47,8.0,NYJ,BAL,781,2,2.0,41.0,6,NYJ,BAL,-3.0
48,0.0,NYJ,BAL,740,2,1.0,33.0,10,NYJ,BAL,-3.0
49,6.0,NYJ,BAL,700,2,2.0,33.0,10,NYJ,BAL,-3.0
50,0.0,NYJ,BAL,660,2,3.0,27.0,4,NYJ,BAL,-3.0
51,0.0,NYJ,BAL,655,2,4.0,27.0,4,NYJ,BAL,-3.0
52,5.0,NYJ,BAL,651,2,1.0,65.0,10,BAL,NYJ,3.0
53,11.0,NYJ,BAL,617,2,2.0,60.0,5,BAL,NYJ,3.0
54,0.0,NYJ,BAL,583,2,1.0,49.0,10,BAL,NYJ,3.0
55,-2.0,NYJ,BAL,539,2,2.0,49.0,10,BAL,NYJ,3.0
56,0.0,NYJ,BAL,496,2,3.0,51.0,12,BAL,NYJ,3.0
57,0.0,NYJ,BAL,488,2,4.0,51.0,12,BAL,NYJ,3.0
58,14.0,NYJ,BAL,481,2,1.0,89.0,10,NYJ,BAL,-3.0
59,5.0,NYJ,BAL,456,2,1.0,75.0,10,NYJ,BAL,-3.0
60,6.0,NYJ,BAL,414,2,2.0,70.0,5,NYJ,BAL,-3.0
61,-6.0,NYJ,BAL,377,2,1.0,64.0,10,NYJ,BAL,-3.0
62,-1.0,NYJ,BAL,332,2,2.0,70.0,16,NYJ,BAL,-3.0
63,0.0,NYJ,BAL,295,2,3.0,71.0,17,NYJ,BAL,-3.0
64,0.0,NYJ,BAL,290,2,4.0,71.0,17,NYJ,BAL,-3.0
65,0.0,NYJ,BAL,281,2,1.0,62.0,10,BAL,NYJ,3.0
66,0.0,NYJ,BAL,275,2,1.0,30.0,10,BAL,NYJ,3.0
67,5.0,NYJ,BAL,269,2,2.0,30.0,10,BAL,NYJ,3.0
68,25.0,NYJ,BAL,231,2,3.0,25.0,5,BAL,NYJ,3.0
71,5.0,NYJ,BAL,225,2,1.0,75.0,10,NYJ,BAL,-10.0
72,22.0,NYJ,BAL,194,2,2.0,70.0,5,NYJ,BAL,-10.0
73,3.0,NYJ,BAL,154,2,1.0,48.0,10,NYJ,BAL,-10.0
75,13.0,NYJ,BAL,120,2,2.0,45.0,7,NYJ,BAL,-10.0
76,5.0,NYJ,BAL,86,2,1.0,32.0,10,NYJ,BAL,-10.0
78,0.0,NYJ,BAL,80,2,2.0,27.0,5,NYJ,BAL,-10.0
80,2.0,NYJ,BAL,76,2,3.0,27.0,5,NYJ,BAL,-10.0
82,0.0,NYJ,BAL,28,2,4.0,27.0,5,NYJ,BAL,-10.0
84,3.0,NYJ,BAL,24,2,1.0,75.0,10,BAL,NYJ,7.0
87,2.0,NYJ,BAL,900,3,1.0,75.0,10,BAL,NYJ,7.0
88,0.0,NYJ,BAL,862,3,2.0,73.0,8,BAL,NYJ,7.0
89,8.0,NYJ,BAL,855,3,3.0,73.0,8,BAL,NYJ,7.0
90,1.0,NYJ,BAL,814,3,1.0,65.0,10,BAL,NYJ,7.0
91,0.0,NYJ,BAL,778,3,2.0,64.0,9,BAL,NYJ,7.0
92,0.0,NYJ,BAL,770,3,3.0,64.0,9,BAL,NYJ,7.0
93,0.0,NYJ,BAL,765,3,4.0,64.0,9,BAL,NYJ,7.0
94,-5.0,NYJ,BAL,758,3,1.0,80.0,10,NYJ,BAL,-7.0
95,0.0,NYJ,BAL,716,3,2.0,85.0,15,NYJ,BAL,-7.0
96,9.0,NYJ,BAL,676,3,3.0,85.0,15,NYJ,BAL,-7.0
97,0.0,NYJ,BAL,630,3,4.0,76.0,6,NYJ,BAL,-7.0
98,15.0,NYJ,BAL,624,3,1.0,44.0,10,BAL,NYJ,7.0
99,6.0,NYJ,BAL,589,3,1.0,29.0,10,BAL,NYJ,7.0
100,6.0,NYJ,BAL,553,3,2.0,23.0,4,BAL,NYJ,7.0
101,-1.0,NYJ,BAL,509,3,1.0,17.0,10,BAL,NYJ,7.0
102,1.0,NYJ,BAL,483,3,2.0,18.0,11,BAL,NYJ,7.0
103,17.0,NYJ,BAL,440,3,3.0,17.0,10,BAL,NYJ,7.0
106,1.0,NYJ,BAL,434,3,1.0,75.0,10,NYJ,BAL,-14.0
107,0.0,NYJ,BAL,398,3,2.0,74.0,9,NYJ,BAL,-14.0
108,0.0,NYJ,BAL,390,3,3.0,74.0,9,NYJ,BAL,-14.0
109,2.0,NYJ,BAL,366,3,1.0,69.0,10,NYJ,BAL,-14.0
110,6.0,NYJ,BAL,331,3,2.0,67.0,8,NYJ,BAL,-14.0
111,0.0,NYJ,BAL,294,3,3.0,61.0,2,NYJ,BAL,-14.0
112,0.0,NYJ,BAL,288,3,4.0,61.0,2,NYJ,BAL,-14.0
113,0.0,NYJ,BAL,277,3,1.0,88.0,10,BAL,NYJ,14.0
114,15.0,NYJ,BAL,274,3,2.0,88.0,10,BAL,NYJ,14.0
115,8.0,NYJ,BAL,231,3,1.0,73.0,10,BAL,NYJ,14.0
116,10.0,NYJ,BAL,192,3,2.0,65.0,2,BAL,NYJ,14.0
117,55.0,NYJ,BAL,134,3,1.0,55.0,10,BAL,NYJ,14.0
120,17.0,NYJ,BAL,121,3,1.0,91.0,10,NYJ,BAL,-21.0
121,8.0,NYJ,BAL,85,3,1.0,74.0,10,NYJ,BAL,-21.0
122,2.0,NYJ,BAL,63,3,2.0,66.0,2,NYJ,BAL,-21.0
123,0.0,NYJ,BAL,38,3,1.0,64.0,10,NYJ,BAL,-21.0
124,12.0,NYJ,BAL,33,3,2.0,64.0,10,NYJ,BAL,-21.0
125,12.0,NYJ,BAL,8,3,1.0,52.0,10,NYJ,BAL,-21.0
127,15.0,NYJ,BAL,900,4,1.0,40.0,10,NYJ,BAL,-21.0
128,3.0,NYJ,BAL,878,4,1.0,25.0,10,NYJ,BAL,-21.0
129,6.0,NYJ,BAL,853,4,2.0,22.0,7,NYJ,BAL,-21.0
130,8.0,NYJ,BAL,843,4,1.0,85.0,10,BAL,NYJ,21.0
131,0.0,NYJ,BAL,797,4,2.0,77.0,2,BAL,NYJ,21.0
132,4.0,NYJ,BAL,769,4,2.0,87.0,12,BAL,NYJ,21.0
133,17.0,NYJ,BAL,721,4,3.0,83.0,8,BAL,NYJ,21.0
134,4.0,NYJ,BAL,673,4,1.0,66.0,10,BAL,NYJ,21.0
135,0.0,NYJ,BAL,625,4,2.0,62.0,6,BAL,NYJ,21.0
136,0.0,NYJ,BAL,618,4,3.0,62.0,6,BAL,NYJ,21.0
137,0.0,NYJ,BAL,615,4,4.0,62.0,6,BAL,NYJ,21.0
